entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,type,exit_reason,entry_fee,exit_fee
2025-01-03 17:00:00+00:00,2025-01-03 18:00:00+00:00,96129.97,98527.98,0.10402583086211303,229.20552768298947,0.024945498266565513,long,signal,10.0,10.249454982665656
2025-01-06 02:00:00+00:00,2025-01-06 03:00:00+00:00,97690.37,99037.57,0.10471047993454205,120.46648155388249,0.013790509750347058,long,signal,10.22920552768299,10.370271486250804
2025-01-07 14:00:00+00:00,2025-01-07 15:00:00+00:00,100750.89,97952.26,0.102725365594655,-307.9021436427294,-0.02777771987919913,long,stop_loss,10.34967200923687,10.062181719322702
2025-01-08 05:00:00+00:00,2025-01-08 06:00:00+00:00,97733.58,95284.31,0.1027463627710572,-271.48547009151173,-0.025060680269770166,long,stop_loss,10.04176986559414,9.790116281649873
2025-01-10 06:00:00+00:00,2025-01-10 07:00:00+00:00,93421.94,94492.63,0.10458233253883004,92.32271357736892,0.011460798180812796,long,signal,9.770284395502628,9.882259653128628
2025-01-13 09:00:00+00:00,2025-01-13 10:00:00+00:00,94246.36,91644.96,0.1046470877928866,-291.68191946839016,-0.027602127021139004,long,stop_loss,9.862607109079995,9.590378174895584
2025-01-13 22:00:00+00:00,2025-01-13 23:00:00+00:00,90851.22,94536.1,0.1053472390311501,368.66189184772054,0.040559499366106526,long,take_profit,9.570925189611605,9.95911712377271
2025-01-17 00:00:00+00:00,2025-01-17 01:00:00+00:00,97618.89,101659.8,0.10182032474922965,391.15614755100887,0.04139475464226241,long,take_profit,9.939587081459328,10.351033849941738
2025-01-19 05:00:00+00:00,2025-01-19 06:00:00+00:00,103159.29,105568.29,0.10014360537970296,220.34321295632404,0.02335223516951309,long,signal,10.330743229010338,10.57198917437004
2025-01-20 05:00:00+00:00,2025-01-20 06:00:00+00:00,101331.57,107486.5,0.10412437547317839,619.1351912048648,0.06074049775405624,long,take_profit,10.55108644196666,11.191964684297789
2025-01-21 16:00:00+00:00,2025-01-21 17:00:00+00:00,101187.75,106173.26,0.11039104667483489,527.4648681744046,0.04926989680074905,long,take_profit,11.170221633171524,11.72057730027938
2025-01-23 01:00:00+00:00,2025-01-23 02:00:00+00:00,104984.83,102655.34,0.11142263602604231,-282.6937314826014,-0.022188824804497995,long,stop_loss,11.69768650134593,11.438128584949622
2025-01-23 16:00:00+00:00,2025-01-23 17:00:00+00:00,102075.22,105927.78,0.11182922525039209,407.56798569089295,0.037742362935881964,long,signal,11.414992769863328,11.845821569893978
2025-01-25 18:00:00+00:00,2025-01-25 19:00:00+00:00,104385.98,105055.16,0.11325812868312603,52.06916296651451,0.006410631006194583,long,signal,11.82256075555422,11.898350830106395
2025-01-27 03:00:00+00:00,2025-01-27 04:00:00+00:00,102620.0,100410.04,0.11571457726096993,-279.21812241353166,-0.021535373221594295,long,stop_loss,11.874629918520734,11.61890533135708
2025-01-28 05:00:00+00:00,2025-01-28 06:00:00+00:00,100374.08,102744.38,0.11552197336311529,250.35708813691548,0.023614662271375268,long,signal,11.595411796107202,11.869233529569795
2025-01-29 10:00:00+00:00,2025-01-29 11:00:00+00:00,101264.48,102646.0,0.11697851886707085,137.75501745336274,0.013642690902081402,long,signal,11.84576888424412,12.007377047629355
