entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,type,exit_reason,entry_fee,exit_fee,entry_rsi,exit_rsi,profit_ratio
2024-01-03 14:00:00+00:00,2024-01-04 21:00:00+00:00,42179.99,44430.86,0.23707924065415853,513.1009158608152,0.053363455041122644,long,signal,10.0,10.533634550411227,15.591996200197514,88.13986461763638,5.131009158608153
2024-01-12 15:00:00+00:00,2024-01-12 18:00:00+00:00,44462.01,43472.0,0.2364513191342635,-254.88128311737822,-0.022266424752277327,long,stoploss,10.513100915860816,10.279011745404704,17.481316238452706,16.669975958442535,-2.424415832752505
2024-01-14 23:00:00+00:00,2024-01-15 13:00:00+00:00,41732.35,42852.54,0.24580977665392525,254.5618607907643,0.026842245883589168,long,signal,10.258219632743439,10.533573286453398,17.063385131291383,80.8566785114182,2.4815403637705584
2024-01-18 19:00:00+00:00,2024-01-22 19:00:00+00:00,41022.32,39820.31,0.256269793944716,-328.7563791515375,-0.029301365695553104,long,stoploss,10.5127814935342,10.204742638514714,19.218717579909097,23.262785952186647,-3.1272064329857554
2024-01-27 08:00:00+00:00,2024-01-27 22:00:00+00:00,41470.01,42155.51,0.24557566092659883,147.805723220853,0.016530017716417236,long,signal,10.184025114382663,10.352367229947847,12.830718801216761,93.2481199212636,1.4513487698700822
2024-01-31 09:00:00+00:00,2024-02-07 21:00:00+00:00,42646.0,44185.96,0.24226963461059692,352.04879929321265,0.03611030342822302,long,signal,10.331830837603517,10.704916384118452,19.33584454084324,80.74828183277637,3.40741931247948
2024-02-17 13:00:00+00:00,2024-02-26 19:00:00+00:00,51188.81,54487.11,0.20871513983030138,666.348981282788,0.06443400422865862,long,signal,10.683879636896728,11.372284782599012,12.03646577477528,83.7126927315956,6.236957022442998
2024-03-14 19:00:00+00:00,2024-03-15 04:00:00+00:00,69415.09,67447.99,0.16351240945130974,-344.02407260739733,-0.028338218678388104,long,stoploss,11.350228618179516,11.028583357547847,17.816164374576175,29.837608048207144,-3.0309880459709717
2024-03-16 21:00:00+00:00,2024-03-19 07:00:00+00:00,66243.28,64704.22,0.1661482424416804,-277.4688109894242,-0.02323345100061467,long,stoploss,11.006204545572118,10.750492431559826,18.025486008762726,18.384630787895816,-2.521021754961405
2024-03-19 10:00:00+00:00,2024-03-19 23:00:00+00:00,63256.01,61937.4,0.16960816426111436,-244.88084592403715,-0.020845608188059927,long,stoploss,10.728735734582694,10.505088713106344,16.780363765932904,35.90695331299503,-2.2824762579871862
2024-04-02 09:00:00+00:00,2024-04-04 16:00:00+00:00,66080.74,67807.64,0.15865220166509417,252.73480079107745,0.026133181922599447,long,signal,10.483854888658657,10.757831375714106,11.366506310634264,88.50572567521169,2.4107048740676844
2024-04-09 16:00:00+00:00,2024-04-11 02:00:00+00:00,68601.24,70995.66,0.1565072247884985,352.89610576999877,0.034903450724797364,long,signal,10.736589689449735,11.111333718627812,13.25359389612585,85.53745268985239,3.2868547274072575
2024-04-12 17:00:00+00:00,2024-04-12 18:00:00+00:00,68140.02,66492.0,0.16274556120206204,-290.11870342289023,-0.02418578685477351,long,stoploss,11.089485795219733,10.82127785544751,12.403499333472993,6.233684613040239,-2.616160106791874
2024-04-13 20:00:00+00:00,2024-04-17 15:00:00+00:00,61816.02,60304.95,0.17470175355509532,-285.32132634934703,-0.024444634255003796,long,stoploss,10.799367091796842,10.535380513052345,12.993474821178793,12.321715991824348,-2.642018962074879
2024-04-24 18:00:00+00:00,2024-04-27 01:00:00+00:00,64127.04,62593.28,0.16395651140996834,-272.2465605321082,-0.023917523715424913,long,stoploss,10.514045765447497,10.262575826507343,13.412664143659171,29.940358432695433,-2.589360619170949
2024-04-30 14:00:00+00:00,2024-04-30 19:00:00+00:00,61247.87,59292.95,0.16721886336480576,-347.0561992785886,-0.03191817119517798,long,stoploss,10.241799204915388,9.91489970454626,16.276513702415144,12.822798542030881,-3.388625302398279
2024-05-10 20:00:00+00:00,2024-05-15 12:00:00+00:00,60516.92,63757.56,0.1635037441700073,509.53743072231174,0.05354932141292054,long,signal,9.894743005636798,10.42459977914389,19.375930601411383,81.93468942405116,5.149577209150763
2024-05-31 07:00:00+00:00,2024-06-03 08:00:00+00:00,68174.99,69142.55,0.152611396589264,126.70446132830581,0.014192301311668657,long,signal,10.404280436359109,10.551941119243017,16.86285451871528,82.1040988303652,1.217810901035699
2024-06-08 03:00:00+00:00,2024-06-11 04:00:00+00:00,69432.0,68024.04,0.15167336239323964,-234.3984470832463,-0.020278257863809285,long,stoploss,10.530984897687414,10.317434870372228,16.591245654288073,25.551273593494727,-2.225797960594548
2024-06-11 05:00:00+00:00,2024-06-11 15:00:00+00:00,67903.57,66244.48,0.15163542138659525,-271.9184073582281,-0.02443303054611136,long,stoploss,10.296586450604169,10.04500963933588,14.73808133941634,11.363232640544751,-2.640859751556525
2024-06-17 13:00:00+00:00,2024-06-20 10:00:00+00:00,65200.01,66209.49,0.15375255376871785,135.00558176397544,0.015482819711224019,long,signal,10.024668043245942,10.179878171224388,19.086273590435027,81.47666011065083,1.3467336891512793
2024-06-21 00:00:00+00:00,2024-06-22 06:00:00+00:00,64832.0,64430.0,0.1567077002870483,-83.25284626989786,-0.006200641658440276,long,signal,10.159673625009917,10.096677129494523,16.353937167505947,80.54262156414788,-0.8194441016781835
2024-06-23 16:00:00+00:00,2024-06-24 05:00:00+00:00,63927.49,62314.01,0.15762265621159252,-274.2195238984154,-0.025239220247815077,long,stoploss,10.076420778740019,9.822099775395738,15.565746328945224,19.54877185058953,-2.721398102756726
2024-06-24 07:00:00+00:00,2024-06-24 10:00:00+00:00,62456.0,61167.15,0.15694570985720513,-221.68160118099237,-0.02063612783399511,long,stoploss,9.802201254841604,9.599921776692145,19.238005818272953,18.53140181703418,-2.2615491706161115
2024-06-24 16:00:00+00:00,2024-06-29 09:00:00+00:00,60168.01,60970.0,0.1592294585388583,108.41169371280385,0.01332917608543141,long,signal,9.580519653660613,9.70822008711419,19.8853103569231,82.25138911119706,1.131584690934598
