entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,type,exit_reason,entry_fee,exit_fee,entry_close_time,entry_quote_asset_volume,entry_number_of_trades,entry_taker_buy_base_asset_volume,entry_taker_buy_quote_asset_volume,entry_inserted_at,entry_rsi,exit_close_time,exit_quote_asset_volume,exit_number_of_trades,exit_taker_buy_base_asset_volume,exit_taker_buy_quote_asset_volume,exit_inserted_at,exit_rsi
2025-01-01 01:12:00+00:00,2025-01-01 02:35:00+00:00,94152.16,93804.0,0.10621105240708231,-56.9414615660441,-0.003697844000605015,long,signal,10.0,9.96302155999395,2025-01-01T01:12:59.999+00:00,965756.6188472,1758,7.91675,745394.1115699,2025-05-08T01:49:51.078863+00:00,29.451700422739634,2025-01-01T02:35:59.999+00:00,170589.4037252,587,1.70296,159704.0072465,2025-05-08T01:49:51.078863+00:00,70.67276002987687
2025-01-01 03:13:00+00:00,2025-01-01 05:13:00+00:00,93976.0,93669.98,0.10580423234053328,-52.23195004653749,-0.0032563633268068875,long,signal,9.943058538433956,9.910680327253106,2025-01-01T03:13:59.999+00:00,89324.1945798,78,0.65798,61834.3350598,2025-05-08T01:49:51.078863+00:00,28.542997800357966,2025-01-01T05:13:59.999+00:00,113913.9277758,784,0.62334,58380.0897651,2025-05-08T01:49:51.078863+00:00,80.79923579047598
2025-01-01 05:57:00+00:00,2025-01-01 06:49:00+00:00,93792.01,93677.91,0.10545489523454522,-31.802024319489266,-0.0012165215352564816,long,signal,9.890826588387418,9.878794184841158,2025-01-01T05:57:59.999+00:00,127325.2525616,129,0.17128,16064.7459197,2025-05-08T01:49:51.078863+00:00,0.025169896790245616,2025-01-01T06:49:59.999+00:00,356469.5391992,558,2.4433,228902.4075657,2025-05-08T01:49:51.078863+00:00,70.11645611291843
2025-01-01 08:05:00+00:00,2025-01-01 08:42:00+00:00,93680.52,93511.87,0.10524092483760687,-37.44918222002531,-0.0018002675476183174,long,signal,9.859024564067928,9.841275682094064,2025-01-01T08:05:59.999+00:00,1020641.8582453,476,0.19182,17972.1372346,2025-05-08T01:49:51.078863+00:00,25.81355517493951,2025-01-01T08:42:59.999+00:00,178897.7769308,388,1.1541,107912.1730187,2025-05-08T01:49:51.078863+00:00,70.810490091375
2025-01-01 09:05:00+00:00,2025-01-01 09:51:00+00:00,93458.99,93413.7,0.10508968031698077,-24.397902873631164,-0.00048459757589942013,long,signal,9.821575381847902,9.816815870226346,2025-01-01T09:05:59.999+00:00,574847.1266034,877,2.14907,200905.3553484,2025-05-08T01:49:51.078863+00:00,28.63744782349282,2025-01-01T09:51:59.999+00:00,1375090.1396452,3697,11.61871,1084784.7838885,2025-05-08T01:49:52.479444+00:00,78.72200983069192
2025-01-01 10:57:00+00:00,2025-01-01 11:18:00+00:00,93297.0,93470.36,0.10501063784445665,-1.407915425410195,0.0018581519234273404,long,signal,9.797177478974273,9.815382123150986,2025-01-01T10:57:59.999+00:00,95046.7134563,373,0.33401,31164.2890516,2025-05-08T01:49:52.479444+00:00,29.464648930109533,2025-01-01T11:18:59.999+00:00,951513.8543256,1708,9.93402,928123.6898091,2025-05-08T01:49:52.479444+00:00,76.6169050498321
2025-01-01 11:58:00+00:00,2025-01-01 12:20:00+00:00,93453.5,93630.1,0.10481971850758785,-1.0988880009455375,0.001889709855703701,long,signal,9.795769563548863,9.814280725837301,2025-01-01T11:58:59.999+00:00,222396.8403685,272,2.15245,201138.1491647,2025-05-08T01:49:52.479444+00:00,29.973056638386055,2025-01-01T12:20:59.999+00:00,3588982.5375222,2344,36.57576,3423282.0156713,2025-05-08T01:49:52.479444+00:00,72.41629835927128
2025-01-01 12:45:00+00:00,2025-01-01 13:02:00+00:00,93764.0,93839.23,0.10446088771327927,-11.738607361008931,0.0008023335181945728,long,signal,9.794670675547918,9.802529268130588,2025-01-01T12:45:59.999+00:00,176051.260602,755,0.64279,60275.9585972,2025-05-08T01:49:52.479444+00:00,29.056799780012668,2025-01-01T13:02:59.999+00:00,590253.402233,1022,4.90055,459718.4808351,2025-05-08T01:49:52.479444+00:00,79.34173355455069
2025-01-01 13:18:00+00:00,2025-01-01 13:35:00+00:00,93633.49,93867.1,0.10448112174593628,4.817562879843347,0.002494940645702735,long,signal,9.78293206818691,9.807339903037978,2025-01-01T13:18:59.999+00:00,706987.4774255,2124,2.81144,263207.8572598,2025-05-08T01:49:52.479444+00:00,18.226906385617212,2025-01-01T13:35:59.999+00:00,306229.4182813,1134,2.04176,191654.9020638,2025-05-08T01:49:52.479444+00:00,76.79756637168293
2025-01-01 14:26:00+00:00,2025-01-01 14:47:00+00:00,94019.32,94183.32,0.10410359946303326,-2.5195819405079884,0.0017443223371536828,long,signal,9.787749631066752,9.804822621378689,2025-01-01T14:26:59.999+00:00,873700.9015389,2698,3.18077,298984.1790149,2025-05-08T01:49:52.479444+00:00,26.433352307300098,2025-01-01T14:47:59.999+00:00,1495100.0108902,5119,13.53585,1274227.5027884,2025-05-08T01:49:52.479444+00:00,75.00761515811337
2025-01-01 15:13:00+00:00,2025-01-01 15:25:00+00:00,93950.0,94218.34,0.10415359285924689,8.350166434489605,0.0028562001064395583,long,signal,9.785230049126245,9.813178624234094,2025-01-01T15:13:59.999+00:00,568573.0838882,1281,0.55427,52086.5315584,2025-05-08T01:49:52.479444+00:00,27.362555869561263,2025-01-01T15:25:59.999+00:00,628672.3639716,634,6.02136,567296.8080511,2025-05-08T01:49:52.479444+00:00,71.7085988001662
2025-01-01 16:15:00+00:00,2025-01-01 17:32:00+00:00,94216.52,93990.15,0.10394759024808743,-43.09424581957759,-0.002402657198546602,long,signal,9.793580215560734,9.770049599556275,2025-01-01T16:15:59.999+00:00,702352.5578441,2610,4.89699,461355.4764233,2025-05-08T01:49:52.479444+00:00,29.93942955295344,2025-01-01T17:32:59.999+00:00,257388.5309723,852,0.42542,39994.2305671,2025-05-08T01:49:52.479444+00:00,80.58550384286703
