entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,type,exit_reason
2025-01-03 05:00:00+00:00,2025-01-03 06:00:00+00:00,94627.07,96539.49,0.10567800524733567,202.1007307951095,0.02021007307951095,long,signal
2025-01-04 09:00:00+00:00,2025-01-04 10:00:00+00:00,98026.0,97789.32,0.10407545682569022,-24.632579121503635,-0.0024144614694060046,long,signal
2025-01-05 09:00:00+00:00,2025-01-05 10:00:00+00:00,98362.43,97737.48,0.10346905979929132,-64.66298892156681,-0.006353543725993727,long,signal
2025-01-07 08:00:00+00:00,2025-01-07 09:00:00+00:00,98695.21,101723.19,0.10246500476316973,310.2619851227823,0.030680111020585453,long,signal
2025-01-11 04:00:00+00:00,2025-01-11 05:00:00+00:00,94252.83,94366.69,0.11058625133987829,12.591350577558606,0.0012080273876126646,long,signal
2025-01-12 08:00:00+00:00,2025-01-12 09:00:00+00:00,94151.52,93906.22,0.1108389805969397,-27.18880194042963,-0.0026053748256002975,long,signal
2025-01-13 02:00:00+00:00,2025-01-13 03:00:00+00:00,95139.45,94269.23,0.10940224792672178,-95.20402419079196,-0.009146784010208187,long,signal
2025-01-15 12:00:00+00:00,2025-01-15 13:00:00+00:00,94536.1,98964.0,0.1090934116419141,483.0547174092308,0.04683819197110938,long,take_profit
2025-01-16 09:00:00+00:00,2025-01-16 10:00:00+00:00,99434.41,99214.25,0.10857730628391507,-23.904379751467122,-0.0022141228574695973,long,signal
2025-01-17 15:00:00+00:00,2025-01-17 16:00:00+00:00,100156.98,104972.81,0.1075553197588318,517.9681355541751,0.04808281958980794,long,take_profit
2025-01-18 06:00:00+00:00,2025-01-18 07:00:00+00:00,104125.46,102821.75,0.10843058120015119,-141.3620330164498,-0.012520568936742332,long,signal
2025-01-19 22:00:00+00:00,2025-01-19 23:00:00+00:00,104084.74,101331.57,0.10711485768727139,-294.90541273886475,-0.026451235791144775,long,stop_loss
2025-01-20 14:00:00+00:00,2025-01-20 15:00:00+00:00,107964.56,104957.99,0.10053407062259856,-302.2627207117854,-0.027847749298473428,long,stop_loss
2025-01-20 16:00:00+00:00,2025-01-20 17:00:00+00:00,106670.38,102963.32,0.09892018739472001,-366.70306988347056,-0.034752477679370765,long,stop_loss
2025-01-20 20:00:00+00:00,2025-01-20 21:00:00+00:00,103930.66,102596.0,0.09799948262796103,-130.7959894842348,-0.012841831274813451,long,signal
2025-01-22 08:00:00+00:00,2025-01-22 09:00:00+00:00,104457.07,104984.83,0.09625346488943533,50.79872863004788,0.005052410526161558,long,signal
2025-01-24 01:00:00+00:00,2025-01-24 02:00:00+00:00,105139.18,103016.01,0.096112159599574,-204.06245389702738,-0.02019389917250637,long,stop_loss
2025-01-24 03:00:00+00:00,2025-01-24 04:00:00+00:00,103891.75,104631.99,0.09530199649569202,70.54634988597155,0.007125108586581757,long,signal
2025-01-24 07:00:00+00:00,2025-01-24 08:00:00+00:00,105046.8,105500.76,0.09492566688673316,43.092455739900615,0.0043215024160659045,long,signal
2025-01-25 00:00:00+00:00,2025-01-25 01:00:00+00:00,105416.75,104738.0,0.09500131620503557,-64.48214337416789,-0.006438730087960405,long,signal
2025-01-26 08:00:00+00:00,2025-01-26 09:00:00+00:00,104899.71,104630.03,0.0948548652487506,-25.58046006028378,-0.0025708364684707665,long,signal
2025-01-26 13:00:00+00:00,2025-01-26 14:00:00+00:00,104715.29,104944.0,0.09477763368293907,21.6765925996256,0.0021841127499146154,long,signal
2025-01-26 21:00:00+00:00,2025-01-26 22:00:00+00:00,105081.63,104330.22,0.09465349927691794,-71.12358589166924,-0.007150726535170833,long,signal
2025-01-28 19:00:00+00:00,2025-01-28 20:00:00+00:00,101386.5,101264.48,0.09740172905989149,-11.884958979888356,-0.0012035132882583389,long,signal
2025-01-30 23:00:00+00:00,2025-01-31 00:00:00+00:00,102732.03,104898.49,0.09601032359966799,208.00252566573732,0.02108845702747241,long,signal
2025-01-31 18:00:00+00:00,2025-01-31 19:00:00+00:00,104580.87,102312.32,0.09630191420301377,-218.46570746524577,-0.021691825665630708,long,stop_loss
2025-02-04 08:00:00+00:00,2025-02-04 09:00:00+00:00,98842.0,98338.23,0.09968305237198044,-50.21733129343299,-0.005096720017806237,long,signal
2025-02-05 17:00:00+00:00,2025-02-05 18:00:00+00:00,98116.24,96723.66,0.0999085873170217,-139.13070052593824,-0.014193165168171974,long,signal
2025-02-06 18:00:00+00:00,2025-02-06 19:00:00+00:00,98128.43,95983.0,0.09847833324890574,-211.27837050219915,-0.021863490529706764,long,stop_loss
2025-02-07 22:00:00+00:00,2025-02-07 23:00:00+00:00,97021.47,96506.8,0.09742426970267219,-50.14134888787413,-0.005304702144793294,long,signal
2025-02-09 13:00:00+00:00,2025-02-09 14:00:00+00:00,96527.36,96127.73,0.09740351866395026,-38.9253681636749,-0.004140069717021212,long,signal
2025-02-10 22:00:00+00:00,2025-02-10 23:00:00+00:00,97142.43,97430.82,0.09638609146567748,27.796784917788074,0.002968733641931893,long,signal
2025-02-11 15:00:00+00:00,2025-02-11 16:00:00+00:00,97607.3,96365.05,0.09621181948579623,-119.51913275623036,-0.01272701939301671,long,signal
2025-02-13 08:00:00+00:00,2025-02-13 09:00:00+00:00,96094.65,96262.25,0.09648254918811536,16.170475243928696,0.001744113746186763,long,signal
2025-02-15 08:00:00+00:00,2025-02-15 09:00:00+00:00,96750.83,97562.55,0.09599532397379597,77.92132437600978,0.008389798826532043,long,signal
2025-02-15 19:00:00+00:00,2025-02-15 20:00:00+00:00,97593.61,97539.4,0.09596477264197592,-5.2022503249221295,-0.0005554666950019207,long,signal
2025-02-15 22:00:00+00:00,2025-02-15 23:00:00+00:00,97684.23,97569.66,0.09582249196860891,-10.978382904842798,-0.0011728607575653967,long,signal
2025-02-18 06:00:00+00:00,2025-02-18 07:00:00+00:00,95609.49,95456.93,0.09778702889984982,-14.918389128962284,-0.0015956575021999616,long,signal
2025-02-18 10:00:00+00:00,2025-02-18 11:00:00+00:00,95742.5,95640.34,0.09749536070815927,-9.960126049945892,-0.0010670287489882079,long,signal
2025-02-21 12:00:00+00:00,2025-02-21 13:00:00+00:00,95289.33,99334.93,0.09785449689436365,395.88015263583674,0.042455960179382,long,take_profit
2025-02-21 17:00:00+00:00,2025-02-21 18:00:00+00:00,98777.77,96543.52,0.09840644913513262,-219.86460898017006,-0.022618955661785033,long,stop_loss
2025-02-23 02:00:00+00:00,2025-02-23 03:00:00+00:00,96580.0,96414.0,0.09836927925250218,-16.32930035591536,-0.0017187823565955685,long,signal
2025-02-24 09:00:00+00:00,2025-02-24 10:00:00+00:00,95727.39,95631.66,0.09907483834930363,-9.484434275178433,-0.0010000272649238208,long,signal
2025-02-26 13:00:00+00:00,2025-02-26 14:00:00+00:00,88900.0,87621.22,0.10657695450591188,-136.28847788306987,-0.014384476940382439,long,signal
2025-02-27 18:00:00+00:00,2025-02-27 19:00:00+00:00,86169.81,84113.98,0.10837209432970198,-222.7946026858314,-0.023857891760466942,long,stop_loss
