entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,type,exit_reason,entry_fee,exit_fee,entry_close_time,entry_quote_asset_volume,entry_number_of_trades,entry_taker_buy_base_asset_volume,entry_taker_buy_quote_asset_volume,entry_inserted_at,entry_rsi,exit_close_time,exit_quote_asset_volume,exit_number_of_trades,exit_taker_buy_base_asset_volume,exit_taker_buy_quote_asset_volume,exit_inserted_at,exit_rsi
2024-12-01 19:21:00+00:00,2024-12-01 19:57:00+00:00,97095.99,97163.46,0.1011200040152197,-12.82094969308738,0.0006948793662848605,long,signal,9.818346898661732,9.825169465332639,2024-12-01T19:21:59.999+00:00,811020.6882664,1928,2.72282,264412.1473929,2025-05-03T07:45:14.409479+00:00,27.34473625584883,2024-12-01T19:57:59.999+00:00,991064.9105195,2655,8.8138,856095.627417,2025-05-03T07:45:15.037136+00:00,70.0951786550151
2024-12-01 20:11:00+00:00,2024-12-01 20:54:00+00:00,96903.84,97065.99,0.10118820832041996,-3.219791586759465,0.00167330830233362,long,signal,9.805525948968643,9.8219336169478,2024-12-01T20:11:59.999+00:00,1896667.3967748,4735,3.73783,362137.2752006,2025-05-03T07:45:15.037136+00:00,26.078062804068068,2024-12-01T20:54:59.999+00:00,474443.2195189,635,3.2679,317199.5695646,2025-05-03T07:45:15.037136+00:00,71.8761051514771
2024-12-01 22:13:00+00:00,2024-12-02 00:32:00+00:00,97483.33,97444.23,0.10055366550754763,-23.53232898778812,-0.0004010942178524864,long,signal,9.802306157381883,9.798374509060537,2024-12-01T22:13:59.999+00:00,2343496.1013659,4124,7.72274,752819.3569556,2025-05-03T07:45:15.037136+00:00,27.085583479762434,2024-12-02T00:32:59.999+00:00,2977735.8849209,4738,21.67932,2111885.999117,2025-05-03T07:45:15.037136+00:00,73.26381725773962
2024-12-02 00:52:00+00:00,2024-12-02 01:04:00+00:00,97357.21,97502.23,0.1004422151003926,-5.005983752964163,0.001489566104040877,long,signal,9.778773828394094,9.793339958427952,2024-12-02T00:52:59.999+00:00,1405335.3085033,3206,8.19102,797158.7982576,2025-05-03T07:45:15.037136+00:00,28.907461657763804,2024-12-02T01:04:59.999+00:00,2790739.6012526,3832,16.20294,1579217.805947,2025-05-03T07:45:15.037136+00:00,74.12537513903612
2024-12-02 02:11:00+00:00,2024-12-02 02:59:00+00:00,97726.45,97644.76,0.10001148966979904,-27.70930434181725,-0.0008359047115699212,long,signal,9.773767844641132,9.765597906050006,2024-12-02T02:11:59.999+00:00,1162733.9530347,4892,2.19228,214223.7021577,2025-05-03T07:45:15.037136+00:00,22.77430710016833,2024-12-02T02:59:59.999+00:00,847058.0312212,3065,5.16979,504764.4461125,2025-05-03T07:45:15.037136+00:00,76.1423514470259
2024-12-02 03:08:00+00:00,2024-12-02 03:18:00+00:00,97409.67,97595.99,0.1000522693516908,-0.869019993816508,0.0019127464449885416,long,signal,9.746058540299314,9.764700279124922,2024-12-02T03:08:59.999+00:00,624881.3080497,1620,1.83327,178572.4495098,2025-05-03T07:45:15.037136+00:00,23.653861038725793,2024-12-02T03:18:59.999+00:00,1014480.4023031,2717,5.78114,564154.1122208,2025-05-03T07:45:15.037136+00:00,73.19375100660612
2024-12-02 03:28:00+00:00,2024-12-02 04:31:00+00:00,97456.01,96505.34,0.09999577779046669,-114.45830212660172,-0.009754862732426643,long,signal,9.7451895203055,9.650126534233436,2024-12-02T03:28:59.999+00:00,361455.4477715,1268,1.13147,110293.8725048,2025-05-03T07:45:15.037136+00:00,25.91177234445027,2024-12-02T04:31:59.999+00:00,4459871.4398184,4724,36.81078,3551427.5647857,2025-05-03T07:45:15.037136+00:00,72.54209389252784
2024-12-02 05:31:00+00:00,2024-12-02 06:49:00+00:00,96666.01,96356.0,0.0996289307707942,-50.11654129978293,-0.003207021785630697,long,signal,9.630731218178898,9.599845253350646,2024-12-02T05:31:59.999+00:00,1236028.8954626,2758,2.86835,277332.967798,2025-05-03T07:45:15.037136+00:00,29.5272168657649,2024-12-02T06:49:59.999+00:00,1863831.6411108,3250,8.11765,782320.0593527,2025-05-03T07:45:15.037136+00:00,71.12428842504805
2024-12-02 07:17:00+00:00,2024-12-02 07:50:00+00:00,96207.99,95972.01,0.09958231823447423,-42.63716537527353,-0.002452810832031835,long,signal,9.580614676879115,9.557115241422144,2024-12-02T07:17:59.999+00:00,1663033.6466705,2616,10.10984,972680.16034,2025-05-03T07:45:15.037136+00:00,29.994515288634148,2024-12-02T07:50:59.999+00:00,7101469.1071673,3164,51.57454,4950215.9673688,2025-05-03T07:45:15.037136+00:00,72.37247214654215
2024-12-02 08:19:00+00:00,2024-12-02 09:17:00+00:00,95381.98,95382.09,0.09999768836318812,-19.064966277033395,1.1532576698510776e-06,long,signal,9.537977511503842,9.537988511249562,2024-12-02T08:19:59.999+00:00,14640247.6268783,21521,31.10571,2969405.482486,2025-05-03T07:45:15.037136+00:00,26.251765957837208,2024-12-02T09:17:59.999+00:00,1924792.5077093,5772,9.93533,947399.7127987,2025-05-03T07:45:15.037136+00:00,78.85120741397047
