entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,type,exit_reason
2024-01-03 11:00:00+00:00,2024-01-03 12:00:00+00:00,43702.88,42789.38,0.22881787195717995,-209.0251260328839,-0.02090251260328839,long,stop_loss
2024-01-04 14:00:00+00:00,2024-01-04 15:00:00+00:00,42529.4,44051.1,0.23021662365251133,350.3206362120258,0.03577995457260147,long,signal
2024-01-11 10:00:00+00:00,2024-01-11 11:00:00+00:00,44670.53,47060.0,0.2270242934251987,542.4677384107098,0.05349097044516824,long,take_profit
2024-01-12 14:00:00+00:00,2024-01-12 15:00:00+00:00,45956.34,44462.01,0.2324763731966003,-347.39641875887446,-0.03251629698970794,long,stop_loss
2024-01-12 21:00:00+00:00,2024-01-12 22:00:00+00:00,43624.0,42510.0,0.23694220680888903,-263.9536183851024,-0.02553640198056116,long,stop_loss
2024-01-14 22:00:00+00:00,2024-01-14 23:00:00+00:00,42782.73,41732.35,0.23543175509009992,-247.29280691154025,-0.02455149542817872,long,stop_loss
2024-01-18 05:00:00+00:00,2024-01-18 06:00:00+00:00,42680.16,42807.05,0.2302034576377954,29.210516739659724,0.0029730441497876157,long,signal
2024-01-19 15:00:00+00:00,2024-01-19 16:00:00+00:00,41508.95,40395.01,0.23740255827415513,-264.4522057639112,-0.026836140157724904,long,stop_loss
2024-01-22 17:00:00+00:00,2024-01-22 18:00:00+00:00,41197.04,40316.01,0.23278077054832289,-205.08684227618863,-0.02138575975361334,long,stop_loss
2024-01-23 08:00:00+00:00,2024-01-23 09:00:00+00:00,39820.31,38961.39,0.2356785236788436,-202.42899755823194,-0.02156989737146693,long,stop_loss
2024-01-23 23:00:00+00:00,2024-01-24 00:00:00+00:00,38917.28,40179.52,0.2359456487112064,297.8200356292327,0.03243392138402268,long,signal
2024-01-27 20:00:00+00:00,2024-01-27 21:00:00+00:00,41470.01,42150.59,0.22860334278445776,155.582863032245,0.016411377764316778,long,signal
2024-01-29 15:00:00+00:00,2024-01-29 16:00:00+00:00,41971.67,43200.0,0.22957785035327727,281.99736092444147,0.029265692787539828,long,signal
2024-02-01 16:00:00+00:00,2024-02-01 17:00:00+00:00,42782.82,42924.0,0.2318164893118681,32.72785196104961,0.0032999227259914213,long,signal
2024-02-05 11:00:00+00:00,2024-02-05 12:00:00+00:00,42746.13,43255.36,0.23278109590792495,118.53911746919337,0.011912891295656548,long,signal
2024-02-10 20:00:00+00:00,2024-02-10 21:00:00+00:00,47151.72,47941.63,0.21354534054519794,168.6815999500565,0.01675251719343422,long,signal
2024-02-14 05:00:00+00:00,2024-02-14 06:00:00+00:00,48692.16,49637.83,0.21025380070717495,198.83071171475376,0.019421401720523347,long,signal
2024-02-19 01:00:00+00:00,2024-02-19 02:00:00+00:00,51188.81,52148.6,0.20388327871573167,195.68513207857228,0.018749996337090097,long,signal
2024-02-24 14:00:00+00:00,2024-02-24 15:00:00+00:00,51095.1,51099.34,0.20808702886255637,0.8822890023768151,8.298251691449793e-05,long,signal
2024-02-26 14:00:00+00:00,2024-02-26 15:00:00+00:00,50949.99,52842.32,0.20869699557227744,394.9235856312881,0.037140929762694785,long,signal
2024-03-03 15:00:00+00:00,2024-03-03 16:00:00+00:00,60800.0,62845.15,0.18138212866889586,370.95366044719265,0.033637335526315815,long,signal
2024-03-06 03:00:00+00:00,2024-03-06 04:00:00+00:00,61410.98,64607.98,0.1856180618435996,593.420943713988,0.05205909431831245,long,take_profit
2024-03-10 03:00:00+00:00,2024-03-10 04:00:00+00:00,68177.99,69403.81,0.17589852718201354,215.6199325902545,0.01797970283371499,long,signal
2024-03-11 11:00:00+00:00,2024-03-11 12:00:00+00:00,68418.59,71968.27,0.17843144618765608,633.3745359034003,0.05188180580745683,long,take_profit
2024-03-14 18:00:00+00:00,2024-03-14 19:00:00+00:00,70844.01,69415.09,0.18126306649953475,-259.01042098251486,-0.020169948030892074,long,stop_loss
2024-03-15 01:00:00+00:00,2024-03-15 02:00:00+00:00,70744.9,69035.38,0.1778558182249348,-304.04807837188866,-0.024164568753365822,long,stop_loss
2024-03-16 22:00:00+00:00,2024-03-16 23:00:00+00:00,67447.99,65300.63,0.1820416590082121,-390.9089768878757,-0.03183727194835617,long,stop_loss
2024-03-17 16:00:00+00:00,2024-03-17 17:00:00+00:00,65220.55,68550.22,0.182265175922028,606.8828883122986,0.05105246735883089,long,take_profit
2024-03-19 07:00:00+00:00,2024-03-19 08:00:00+00:00,65851.61,63464.0,0.1897344333387403,-453.0118303839098,-0.036257427874580445,long,stop_loss
2024-03-19 21:00:00+00:00,2024-03-19 22:00:00+00:00,64141.84,62633.96,0.18772935228253218,-283.07333571978415,-0.023508524233168203,long,stop_loss
2024-03-20 17:00:00+00:00,2024-03-20 18:00:00+00:00,61749.99,65414.93,0.1904167553985034,697.8659835301914,0.05935126467226962,long,take_profit
2024-03-22 12:00:00+00:00,2024-03-22 13:00:00+00:00,65223.74,63058.61,0.19097492301453767,-413.48553506646545,-0.03319542853568344,long,stop_loss
2024-03-23 10:00:00+00:00,2024-03-23 11:00:00+00:00,62739.99,64629.62,0.19194477382214686,362.7046029575443,0.03011843004756623,long,signal
2024-03-24 17:00:00+00:00,2024-03-24 18:00:00+00:00,64218.94,65846.01,0.19317226028818446,314.30478954709486,0.02533629486877224,long,signal
2024-03-30 04:00:00+00:00,2024-03-30 05:00:00+00:00,70365.05,70006.81,0.18076619831377078,-64.7576828839262,-0.005091163866152376,long,signal
2024-04-02 01:00:00+00:00,2024-04-02 02:00:00+00:00,69395.0,66996.0,0.18235989480185127,-437.48138762964123,-0.03457021399236256,long,stop_loss
2024-04-02 11:00:00+00:00,2024-04-02 12:00:00+00:00,66703.97,65345.59,0.1831582664741668,-248.79852601317955,-0.020364305153051678,long,stop_loss
2024-04-04 12:00:00+00:00,2024-04-04 13:00:00+00:00,65224.2,67242.15,0.18349914580986273,370.292101287012,0.030938670002851658,long,signal
2024-04-06 21:00:00+00:00,2024-04-06 22:00:00+00:00,66930.74,69056.0,0.18435291597580813,391.79787820674505,0.03175312270565057,long,signal
2024-04-09 12:00:00+00:00,2024-04-09 13:00:00+00:00,71419.99,69928.0,0.17825086457762604,-265.9485074411732,-0.02089036976902412,long,stop_loss
2024-04-11 01:00:00+00:00,2024-04-11 02:00:00+00:00,69358.32,70995.66,0.17971494203124055,294.2544631854308,0.023606973179281107,long,signal
2024-04-12 17:00:00+00:00,2024-04-12 18:00:00+00:00,68840.54,66492.0,0.1853410929282319,-435.2809703856685,-0.034115653363555744,long,stop_loss
2024-04-13 14:00:00+00:00,2024-04-13 15:00:00+00:00,66843.98,67676.0,0.18436514329314316,153.39548652276173,0.012447194197592725,long,signal
2024-04-13 19:00:00+00:00,2024-04-13 20:00:00+00:00,64788.01,61816.02,0.19258340297080828,-572.3559477952135,-0.04587253104393861,long,stop_loss
2024-04-14 09:00:00+00:00,2024-04-14 10:00:00+00:00,62928.01,64457.23,0.1891802949070143,289.2982905777046,0.024301102164203208,long,signal
2024-04-16 14:00:00+00:00,2024-04-16 15:00:00+00:00,63112.96,61762.2,0.19320972713511217,-260.9799710250245,-0.021402260328148164,long,stop_loss
2024-04-17 13:00:00+00:00,2024-04-17 14:00:00+00:00,62595.04,61279.66,0.19063903161119833,-250.76276940073757,-0.021014125080837033,long,stop_loss
2024-04-18 13:00:00+00:00,2024-04-18 14:00:00+00:00,60304.95,63816.57,0.19372033373485076,680.2721983499771,0.05823104073546206,long,take_profit
2024-04-25 09:00:00+00:00,2024-04-25 10:00:00+00:00,65234.85,63462.01,0.18950863285825698,-335.9684846764316,-0.02717627157876498,long,stop_loss
2024-04-26 01:00:00+00:00,2024-04-26 02:00:00+00:00,63384.96,64499.91,0.18973899728795338,211.54949502620445,0.017590134946839194,long,signal
2024-04-28 01:00:00+00:00,2024-04-28 02:00:00+00:00,62593.28,63950.0,0.19551856442997134,265.26394673343094,0.02167517024191736,long,signal
2024-04-29 23:00:00+00:00,2024-04-30 00:00:00+00:00,62279.67,64580.0,0.20076233858170198,461.81963030964687,0.03693548793691427,long,signal
2024-04-30 18:00:00+00:00,2024-04-30 19:00:00+00:00,61230.16,59292.95,0.21174584266326127,-410.1961638656977,-0.03163816655060196,long,stop_loss
2024-05-01 06:00:00+00:00,2024-05-01 07:00:00+00:00,59958.62,57499.99,0.20939500711891995,-514.8248463527912,-0.04100544675644644,long,stop_loss
2024-05-02 13:00:00+00:00,2024-05-02 14:00:00+00:00,57169.69,59055.25,0.21060479452289885,397.10797636059664,0.032981812565364574,long,signal
2024-05-08 19:00:00+00:00,2024-05-08 20:00:00+00:00,63165.19,61570.01,0.19690147044200168,-314.0932876196723,-0.02525409960771115,long,stop_loss
2024-05-09 21:00:00+00:00,2024-05-09 22:00:00+00:00,61251.01,63280.47,0.19792694853731796,401.6848249785451,0.033133494451764944,long,signal
2024-05-11 06:00:00+00:00,2024-05-11 07:00:00+00:00,61063.87,61018.52,0.20511163686656764,-9.301812731900036,-0.0007426650161544923,long,signal
2024-05-15 06:00:00+00:00,2024-05-15 07:00:00+00:00,62042.0,62195.04,0.20172799903896382,30.8724529729232,0.002466716095548191,long,signal
2024-05-20 15:00:00+00:00,2024-05-20 16:00:00+00:00,66034.01,68190.06,0.1900002887807104,409.6501226256512,0.03265059928966911,long,signal
2024-05-23 12:00:00+00:00,2024-05-23 13:00:00+00:00,69668.03,68036.14,0.1859695342608937,-303.48182326500967,-0.023423799984009876,long,stop_loss
